date,dengue,isPartial
2012-01-01,7,False
2012-01-08,4,False
2012-01-15,4,False
2012-01-22,7,False
2012-01-29,5,False
2012-02-05,6,False
2012-02-12,6,False
2012-02-19,8,False
2012-02-26,8,False
2012-03-04,5,False
2012-03-11,5,False
2012-03-18,11,False
2012-03-25,8,False
2012-04-01,6,False
2012-04-08,8,False
2012-04-15,6,False
2012-04-22,7,False
2012-04-29,9,False
2012-05-06,8,False
2012-05-13,9,False
2012-05-20,8,False
2012-05-27,7,False
2012-06-03,9,False
2012-06-10,7,False
2012-06-17,9,False
2012-06-24,8,False
2012-07-01,9,False
2012-07-08,12,False
2012-07-15,8,False
2012-07-22,9,False
2012-07-29,6,False
2012-08-05,9,False
2012-08-12,8,False
2012-08-19,6,False
2012-08-26,7,False
2012-09-02,8,False
2012-09-09,7,False
2012-09-16,8,False
2012-09-23,6,False
2012-09-30,9,False
2012-10-07,8,False
2012-10-14,9,False
2012-10-21,10,False
2012-10-28,9,False
2012-11-04,8,False
2012-11-11,7,False
2012-11-18,6,False
2012-11-25,8,False
2012-12-02,6,False
2012-12-09,7,False
2012-12-16,7,False
2012-12-23,5,False
2012-12-30,6,False
2013-01-06,10,False
2013-01-13,9,False
2013-01-20,11,False
2013-01-27,12,False
2013-02-03,13,False
2013-02-10,17,False
2013-02-17,14,False
2013-02-24,17,False
2013-03-03,14,False
2013-03-10,11,False
2013-03-17,9,False
2013-03-24,17,False
2013-03-31,17,False
2013-04-07,37,False
2013-04-14,36,False
2013-04-21,30,False
2013-04-28,43,False
2013-05-05,35,False
2013-05-12,31,False
2013-05-19,29,False
2013-05-26,59,False
2013-06-02,59,False
2013-06-09,100,False
2013-06-16,72,False
2013-06-23,43,False
2013-06-30,45,False
2013-07-07,35,False
2013-07-14,32,False
2013-07-21,26,False
2013-07-28,23,False
2013-08-04,22,False
2013-08-11,26,False
2013-08-18,21,False
2013-08-25,19,False
2013-09-01,16,False
2013-09-08,24,False
2013-09-15,22,False
2013-09-22,16,False
2013-09-29,23,False
2013-10-06,22,False
2013-10-13,20,False
2013-10-20,29,False
2013-10-27,26,False
2013-11-03,22,False
2013-11-10,21,False
2013-11-17,26,False
2013-11-24,22,False
2013-12-01,21,False
2013-12-08,15,False
2013-12-15,18,False
2013-12-22,15,False
2013-12-29,17,False
2014-01-05,21,False
2014-01-12,22,False
2014-01-19,16,False
2014-01-26,15,False
2014-02-02,14,False
2014-02-09,18,False
2014-02-16,17,False
2014-02-23,18,False
2014-03-02,16,False
2014-03-09,12,False
2014-03-16,11,False
2014-03-23,13,False
2014-03-30,14,False
2014-04-06,12,False
2014-04-13,15,False
2014-04-20,17,False
2014-04-27,18,False
2014-05-04,13,False
2014-05-11,14,False
2014-05-18,14,False
2014-05-25,19,False
2014-06-01,17,False
2014-06-08,20,False
2014-06-15,24,False
2014-06-22,21,False
2014-06-29,25,False
2014-07-06,39,False
2014-07-13,30,False
2014-07-20,36,False
2014-07-27,25,False
2014-08-03,26,False
2014-08-10,26,False
2014-08-17,24,False
2014-08-24,19,False
2014-08-31,16,False
2014-09-07,17,False
2014-09-14,17,False
2014-09-21,12,False
2014-09-28,18,False
2014-10-05,13,False
2014-10-12,12,False
2014-10-19,14,False
2014-10-26,14,False
2014-11-02,9,False
2014-11-09,12,False
2014-11-16,10,False
2014-11-23,12,False
2014-11-30,11,False
2014-12-07,12,False
2014-12-14,10,False
2014-12-21,9,False
2014-12-28,11,False
2015-01-04,12,False
2015-01-11,13,False
2015-01-18,10,False
2015-01-25,12,False
2015-02-01,8,False
2015-02-08,8,False
2015-02-15,7,False
2015-02-22,10,False
2015-03-01,9,False
2015-03-08,12,False
2015-03-15,9,False
2015-03-22,9,False
2015-03-29,8,False
2015-04-05,11,False
2015-04-12,9,False
2015-04-19,11,False
2015-04-26,9,False
2015-05-03,9,False
2015-05-10,12,False
2015-05-17,11,False
2015-05-24,12,False
2015-05-31,12,False
2015-06-07,11,False
2015-06-14,13,False
2015-06-21,15,False
2015-06-28,14,False
2015-07-05,14,False
2015-07-12,13,False
2015-07-19,15,False
2015-07-26,13,False
2015-08-02,10,False
2015-08-09,11,False
2015-08-16,12,False
2015-08-23,10,False
2015-08-30,9,False
2015-09-06,11,False
2015-09-13,13,False
2015-09-20,11,False
2015-09-27,12,False
2015-10-04,11,False
2015-10-11,11,False
2015-10-18,11,False
2015-10-25,12,False
2015-11-01,12,False
2015-11-08,10,False
2015-11-15,12,False
2015-11-22,11,False
2015-11-29,12,False
2015-12-06,16,False
2015-12-13,15,False
2015-12-20,12,False
2015-12-27,19,False
