date,dengue symptoms,isPartial
2012-01-01,6.8384750100960225,False
2012-01-08,0.0,False
2012-01-15,18.23593336025606,False
2012-01-22,18.23593336025606,False
2012-01-29,9.11796668012803,False
2012-02-05,27.35390004038409,False
2012-02-12,20.515425030288064,False
2012-02-19,18.23593336025606,False
2012-02-26,15.95644169022405,False
2012-03-04,13.676950020192045,False
2012-03-11,11.397458350160035,False
2012-03-18,25.074408370352078,False
2012-03-25,18.23593336025606,False
2012-04-01,18.23593336025606,False
2012-04-08,22.79491670032007,False
2012-04-15,15.95644169022405,False
2012-04-22,0.0,False
2012-04-29,22.79491670032007,False
2012-05-06,0.0,False
2012-05-13,15.95644169022405,False
2012-05-20,6.8384750100960225,False
2012-05-27,27.35390004038409,False
2012-06-03,27.35390004038409,False
2012-06-10,9.11796668012803,False
2012-06-17,27.35390004038409,False
2012-06-24,34.19237505048011,False
2012-07-01,43.31034173060814,False
2012-07-08,29.633391710416095,False
2012-07-15,27.35390004038409,False
2012-07-22,22.79491670032007,False
2012-07-29,9.11796668012803,False
2012-08-05,27.35390004038409,False
2012-08-12,11.397458350160035,False
2012-08-19,6.8384750100960225,False
2012-08-26,6.8384750100960225,False
2012-09-02,9.11796668012803,False
2012-09-09,6.8384750100960225,False
2012-09-16,11.397458350160035,False
2012-09-23,25.074408370352078,False
2012-09-30,20.515425030288064,False
2012-10-07,15.95644169022405,False
2012-10-14,11.397458350160035,False
2012-10-21,18.23593336025606,False
2012-10-28,29.633391710416095,False
2012-11-04,15.95644169022405,False
2012-11-11,11.397458350160035,False
2012-11-18,9.11796668012803,False
2012-11-25,15.95644169022405,False
2012-12-02,9.11796668012803,False
2012-12-09,6.8384750100960225,False
2012-12-16,15.95644169022405,False
2012-12-23,20.515425030288064,False
2012-12-30,36.47186672051212,False
2013-01-06,29.633391710416095,False
2013-01-13,11.397458350160035,False
2013-01-20,18.23593336025606,False
2013-01-27,27.35390004038409,False
2013-02-03,29.633391710416095,False
2013-02-10,31.9128833804481,False
2013-02-17,41.03085006057613,False
2013-02-24,45.58983340064014,False
2013-03-03,25.074408370352078,False
2013-03-10,22.79491670032007,False
2013-03-17,22.79491670032007,False
2013-03-24,20.515425030288064,False
2013-03-31,43.31034173060814,False
2013-04-07,79.78220845112025,False
2013-04-14,61.54627509086419,False
2013-04-21,68.38475010096022,False
2013-04-28,72.94373344102424,False
2013-05-05,63.8257667608962,False
2013-05-12,66.1052584309282,False
2013-05-19,84.34119179118427,False
2013-05-26,123.09255018172838,False
2013-06-02,139.04899187195244,False
2013-06-09,227.94916700320073,False
2013-06-16,161.8439085722725,False
2013-06-23,102.57712515144033,False
2013-06-30,98.01814181137631,False
2013-07-07,84.34119179118427,False
2013-07-14,56.98729175080018,False
2013-07-21,50.148816740704156,False
2013-07-28,66.1052584309282,False
2013-08-04,38.75135839054412,False
2013-08-11,68.38475010096022,False
2013-08-18,56.98729175080018,False
2013-08-25,41.03085006057613,False
2013-09-01,29.633391710416095,False
2013-09-08,45.58983340064014,False
2013-09-15,50.148816740704156,False
2013-09-22,43.31034173060814,False
2013-09-29,41.03085006057613,False
2013-10-06,52.428308410736165,False
2013-10-13,63.8257667608962,False
2013-10-20,72.94373344102424,False
2013-10-27,45.58983340064014,False
2013-11-03,47.869325070672154,False
2013-11-10,43.31034173060814,False
2013-11-17,70.66424177099222,False
2013-11-24,45.58983340064014,False
2013-12-01,38.75135839054412,False
2013-12-08,29.633391710416095,False
2013-12-15,41.03085006057613,False
2013-12-22,41.03085006057613,False
2013-12-29,63.8257667608962,False
2014-01-05,50.148816740704156,False
2014-01-12,63.8257667608962,False
2014-01-19,34.19237505048011,False
2014-01-26,34.19237505048011,False
2014-02-02,20.515425030288064,False
2014-02-09,36.47186672051212,False
2014-02-16,43.31034173060814,False
2014-02-23,38.75135839054412,False
2014-03-02,36.47186672051212,False
2014-03-09,22.79491670032007,False
2014-03-16,31.9128833804481,False
2014-03-23,31.9128833804481,False
2014-03-30,18.23593336025606,False
2014-04-06,27.35390004038409,False
2014-04-13,27.35390004038409,False
2014-04-20,31.9128833804481,False
2014-04-27,27.35390004038409,False
2014-05-04,34.19237505048011,False
2014-05-11,29.633391710416095,False
2014-05-18,36.47186672051212,False
2014-05-25,43.31034173060814,False
2014-06-01,36.47186672051212,False
2014-06-08,34.19237505048011,False
2014-06-15,47.869325070672154,False
2014-06-22,34.19237505048011,False
2014-06-29,56.98729175080018,False
2014-07-06,91.17966680128028,False
2014-07-13,75.22322511105624,False
2014-07-20,84.34119179118427,False
2014-07-27,66.1052584309282,False
2014-08-03,52.428308410736165,False
2014-08-10,31.9128833804481,False
2014-08-17,75.22322511105624,False
2014-08-24,43.31034173060814,False
2014-08-31,36.47186672051212,False
2014-09-07,34.19237505048011,False
2014-09-14,18.23593336025606,False
2014-09-21,27.35390004038409,False
2014-09-28,20.515425030288064,False
2014-10-05,29.633391710416095,False
2014-10-12,22.79491670032007,False
2014-10-19,22.79491670032007,False
2014-10-26,29.633391710416095,False
2014-11-02,20.515425030288064,False
2014-11-09,15.95644169022405,False
2014-11-16,20.515425030288064,False
2014-11-23,31.9128833804481,False
2014-11-30,18.23593336025606,False
2014-12-07,36.47186672051212,False
2014-12-14,27.35390004038409,False
2014-12-21,25.074408370352078,False
2014-12-28,22.79491670032007,False
2015-01-04,27.845002549166015,False
2015-01-11,23.312095157441313,False
2015-01-18,22.6645369586235,False
2015-01-25,25.254769753894756,False
2015-02-01,21.369420560987873,False
2015-02-08,18.131629566898802,False
2015-02-15,12.303605777538472,False
